昵称,是否认证,是否会员,性别,地区,微博数,关注数,粉丝数,分组数
扬子晚报,1,1,男,江苏,176226,1786,18432277,2
asussony,0,1,男,北京,4769,115,2996,1
誉红运,1,1,女,广东,1499,130,377,1
长春新闻广播,1,0,男,吉林,36198,445,22158,1
微博财经7X24小时,1,0,男,北京,360253,41,127702,1
河北青年报,1,1,男,河北,85188,1152,1787142,1
汽车音乐1029,1,0,男,河北,35176,70,503458,1
左岸大先生,1,1,男,河北,6566,521,967,4
庄里人,1,1,男,河北,3411,304,43187,1
厦门百姓,1,1,男,福建,18768,199,20097,1
长沙晚报,1,1,女,湖南,80055,842,4205413,2
河北旅游TV,1,0,女,河北,4151,459,158813,1
石家庄文旅之声,1,1,男,河北,9935,978,803409,2
鹤北检察,1,1,男,黑龙,13822,2260,2884,1
揭东检察,1,0,男,广东,16710,325,10057,2
煋光微博 男/重庆         ,0,0,引,家的,8035,381,404,1
鹤岗绥滨检察,1,0,男,黑龙,5931,125,4818,2
网信裕华区,1,0,女,其他,815,34,780,1
炒股娶她,1,1,男,其他,90844,128,34250,1
呼中宣传,1,1,女,黑龙,2022,108,3478,1
中国新闻周刊,1,1,男,北京,160272,3069,57930327,1
环球网,1,1,女,北京,114455,1440,22439120,3
华阴检察,1,1,男,陕西,45291,578,24869,2
燕赵都市报冀东版官微,1,1,男,河北,26480,531,308912,1
沈阳公共频道,1,0,女,辽宁,14852,391,176942,6
中新社河北分社,1,0,男,河北,11248,256,51142,2
天津市人民检察院,1,1,男,天津,9928,575,63099,2
海峡卫视,1,1,女,福建,69888,1545,788288,3
廊坊生态环境,1,0,女,河北,20060,110,2704,2
民生关注,1,1,女,河北,6229,223,23237,2
中央人民广播电台,1,1,男,北京,49978,879,5494750,2
央视网快看,1,1,男,北京,174088,883,5107446,1
天津政法,1,1,男,天津,48128,312,322673,1
郑州人民广播电台,1,1,男,河南,120082,1008,768282,1
也迪律所小白 女/北京         ,0,0,京,迪律,960,102,1006,1
智趣威虎山,1,1,男,黑龙,10017,5506,12457,2
网信石家庄桥西,1,0,男,河北,1019,3,40,1
河南法治频道,1,0,女,河南,10938,419,149240,1
张家口生态环境发布,1,0,男,河北,14254,241,120801,4
新浪河北城市频道,1,0,男,河北,35175,1514,97689,3
石家庄桥西发布,1,0,女,河北,9718,181,3139,1
无锡新闻广播,1,1,男,江苏,38519,268,371769,1
南京晨报,1,1,男,江苏,171513,1538,2139358,2
财经961,1,0,女,福建,28602,200,76451,1
肃南检察,1,1,男,甘肃,10229,280,904,1
四川省成都女子监狱,1,0,女,其他,12535,107,248,1
新华视点,1,1,男,北京,135774,2980,100807433,1
西安日报,1,0,女,陕西,80543,420,689520,2
河北音乐广播,1,0,女,河北,74287,571,2353557,1
赤峰综合广播,1,0,男,内蒙,2267,119,125,4
河北长城网,1,1,男,河北,78716,1937,2041257,2
丽水检察,1,0,男,浙江,12068,156,47676,1
冀州融媒,1,0,男,河北,1376,69,240,1
Vivielll,0,1,男,福建,263,198,30,1
陇南武都发布,1,0,男,甘肃,33303,2528,21267,5
环球新视界,1,1,男,吉林,26211,20000,20395,1
FM910攀枝花汽车电台,1,0,男,四川,24351,539,124618,1
合肥日报,1,0,男,安徽,16282,94,359660,1
临汾新闻网,1,1,男,山西,36696,43,208958,1
姑苏晚报,1,0,男,江苏,23443,583,881060,2
陕西宝鸡中院,1,1,男,陕西,13425,352,36776,3
深圳凉薄青年,1,1,男,广东,44492,50,372112,1
今日长安事,1,1,男,陕西,22030,2896,53061,1
见马鞍山,1,1,男,安徽,57726,760,75799,1
人民日报数字传播,1,0,男,北京,34075,610,2520482,1
宁县融媒,1,0,女,北京,7325,113,4169,1
嵩明发布,1,0,女,云南,12187,195,59456,1
锦绣青羊,1,1,男,四川,58232,970,537398,1
抚顺妇女,1,1,女,辽宁,44570,2311,104411,4
兰州铁检分院,1,0,男,甘肃,14545,359,822,2
秦皇岛发布,1,0,女,河北,8592,695,421410,1
半岛新闻客户端,1,0,男,山东,4549,15,297,1
半岛新闻,1,1,男,山东,8768,59,1112398,1
保定电视台新闻中心,1,1,女,其他,915,246,1135,1
中工网,1,1,男,北京,121462,291,940254,1
宁德网,1,1,女,福建,35315,285,288480,3
澄城检察,1,0,男,陕西,58493,1022,190669,3
眉山生态环境,1,1,男,四川,7588,150,875,2
当涂检察,1,0,男,安徽,16490,695,7485,1
北京大兴,1,0,女,北京,31005,1082,1455630,1
新华日报,1,1,男,江苏,73233,487,10031890,2
东方红人民检察,1,1,男,黑龙,13820,2079,17318,2
宋中清主任律师,1,1,男,北京,33245,8939,200383,2
人民网,1,1,男,北京,188933,986,77867398,1
南开发布,1,0,男,天津,38373,187,200893,2
大河财立方,1,1,男,河南,15050,209,1607977,1
南充顺庆检察,1,1,男,四川,36633,732,31453,1
铜仁发布,1,1,女,贵州,32836,529,103616,2
风彩邢台,1,1,女,河北,15664,1808,282503,1
海南网络广播电视台,1,1,男,海南,27730,448,8115,1
北京商报,1,1,男,北京,60527,463,2559623,1
河南日报,1,1,男,河南,84135,826,6219119,2
临沂都市101经济广播,1,0,男,山东,2152,181,4163,1
央视新闻,1,1,男,北京,139432,2712,116464731,1
抚州日报,1,0,女,江西,18491,328,191764,1
中国宣汉,1,0,男,四川,33826,288,7769,4
看临洮,1,0,男,甘肃,3709,53,1189,1
BFTK线向上,1,1,男,江苏,49507,1154,67399,1
法治四川,1,1,男,四川,67176,3600,1290004,2
百万庄通讯社官微,1,0,男,北京,10491,694,23418,2
陕西铁检,1,0,男,陕西,36441,1422,1694,2
白河检察,1,0,男,陕西,10452,329,560,6
长安街知事,1,1,男,北京,85429,1866,15042967,1
黑龙江日报,1,1,男,黑龙,20515,217,343079,1
纵相新闻,1,0,女,其他,4977,131,10098,1
中国证券报,1,1,男,北京,81533,761,1081814,1
忻州日报,1,1,女,山西,13123,599,117843,1
衢州检察,1,0,男,浙江,26823,276,15916,3
山西日报,1,0,男,山西,70613,157,5578323,1
老铁说股,1,1,男,天津,22228,9838,335268,1
白银市检察院,1,0,男,甘肃,19240,703,82916,1
新海南,1,0,女,其他,4651,16,519,1
荆楚网,1,1,女,湖北,106649,255,3318466,1
中国报道,1,0,男,北京,15193,278,489538,1
四川工人日报,1,0,男,四川,141203,647,286760,2
正义网,1,1,男,北京,83876,746,3226042,1
